# This file was produced by bcftools stats (1.16+htslib-1.16) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  ./snpcalling/Kag12_18.g.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	./snpcalling/Kag12_18.g.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	14249420
SN	0	number of no-ALTs:	12880169
SN	0	number of SNPs:	1220322
SN	0	number of MNPs:	0
SN	0	number of indels:	151684
SN	0	number of others:	0
SN	0	number of multiallelic sites:	1369251
SN	0	number of multiallelic SNP sites:	1212588
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	835440	386715	2.16	832483	382666	2.18
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	1222155	835440	386715	163499	0	0	163499
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	1222155	835440	386715	163499	0	0	163499
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	0.0	6482	2196	4286	5792
QUAL	0	0.1	56	16	40	38
QUAL	0	0.2	0	0	0	20
QUAL	0	0.3	98	55	43	23
QUAL	0	0.4	2	1	1	28
QUAL	0	0.5	0	0	0	1
QUAL	0	0.6	92	31	61	15
QUAL	0	0.7	0	0	0	10
QUAL	0	0.8	1	0	1	10
QUAL	0	0.9	0	0	0	1
QUAL	0	1.1	57	27	30	16
QUAL	0	1.2	1	0	1	14
QUAL	0	1.3	0	0	0	3
QUAL	0	1.4	0	0	0	1
QUAL	0	1.6	1	1	0	0
QUAL	0	1.7	0	0	0	13
QUAL	0	1.8	124	56	68	52
QUAL	0	1.9	0	0	0	1
QUAL	0	2.2	0	0	0	4
QUAL	0	2.6	50	14	36	22
QUAL	0	2.7	1	1	0	17
QUAL	0	2.9	0	0	0	1
QUAL	0	3.0	3	3	0	0
QUAL	0	3.1	1	1	0	1
QUAL	0	3.3	3	0	3	14
QUAL	0	3.4	0	0	0	3
QUAL	0	3.6	49	27	22	22
QUAL	0	3.7	0	0	0	28
QUAL	0	3.8	0	0	0	6
QUAL	0	3.9	0	0	0	1
QUAL	0	4.0	0	0	0	2
QUAL	0	4.6	127	68	59	43
QUAL	0	4.7	0	0	0	10
QUAL	0	4.8	0	0	0	1
QUAL	0	4.9	0	0	0	1
QUAL	0	5.1	1	1	0	0
QUAL	0	5.5	60	19	41	26
QUAL	0	5.6	3	0	3	34
QUAL	0	5.7	0	0	0	1
QUAL	0	6.3	0	0	0	11
QUAL	0	6.5	55	18	37	30
QUAL	0	6.6	0	0	0	22
QUAL	0	6.8	0	0	0	1
QUAL	0	6.9	0	0	0	2
QUAL	0	7.2	1	1	0	0
QUAL	0	7.3	0	0	0	2
QUAL	0	7.5	135	68	67	32
QUAL	0	7.6	2	1	1	31
QUAL	0	7.7	2	1	1	0
QUAL	0	7.9	0	0	0	1
QUAL	0	8.0	0	0	0	1
QUAL	0	8.3	0	0	0	12
QUAL	0	8.5	70	33	37	25
QUAL	0	8.6	0	0	0	25
QUAL	0	8.9	0	0	0	6
QUAL	0	9.0	0	0	0	1
