sample	raw_reads	adaptertrimmed	removedunmapped	qualityfilter	duplicateremoved
A1	3787383	3702437	3630597	3656255	3612865
A2	3693422	3649055	3558460	3255124	3093613
A3	5295813	5146901	5075105	5067596	4902223
B1	5304431	4107617	2465088	1632075	1454372
B2	4795437	3935570	3402762	2669851	2499485
C3	4518596	4474231	4381586	4138648	3985803
C4	5689402	5579410	5498582	4958529	5106644
C4a	4561764	4406835	4349913	3981934	717176
D1	4497979	4457510	4386716	4363426	4219107
D2	4135347	4092579	3931341	3532295	3305408
D3	4928825	4946003	4913905	4747932	4658254
D4	3389340	3292570	3284576	3040246	3004697
E1	6227086	6073760	5992806	5545004	5426189
E2	5513582	5376025	5356652	4704895	4706102
E3	5190624	5172600	5016363	4432055	4395314
E4	5993305	5952274	5921220	1191850	736743
E5	5458109	5365184	5333120	5068446	4877689
E6	5697033	5659240	5627929	5505245	5319843
E7	5896220	5721770	5642520	5176551	4893188
F1	4337271	4305836	429675	405455	401422
